alpha_code,title
BIOS1165,Hearing Science and Audiology
BIOS1166,Neuroscience I: Communication Disorders
BIOS1167,Human Cell Biology
BIOS1168,Functional Musculoskeletal Anatomy A
BIOS1169,Functional Musculoskeletal Anatomy B
BIOS1170,Body Systems: Structure and Function
BIOS1171,Neuroscience
BIOS1172,Biological Aspects of Ageing
BIOS1173,Disease in Ageing
BIOS2062,Neuroscience II: Communication Disorders
BIOS2111,Introductory Toxicology
BIOS2114,Applications of Biotechniques
BIOS2115,Embryology
BIOS3063,Project Design and Management
BIOS3065,Anatomical Analysis of Exercise
BIOS3066,Current Issues in Healthcare
BIOS3068,Environmental Toxicology
BIOS5041,Ageing, Biology & Health
BIOS5090,Clinically Oriented Musculoskeletal Anatomy A
BIOS5091,Clinically Based Neuroscience
BIOS5092,Bio Sciences for Health Professionals
BIOS5093,Clinically Oriented Musculoskeletal Anatomy B
BIOS5094,Anatomy of Exercise
CHEM1001,Fundamentals of Chemistry 1A
CHEM1002,Fundamentals of Chemistry 1B
CHEM1102,Chemistry 1B
CHEM1108,Chemistry 1 Life Sciences A
CHEM1109,Chemistry 1 Life Sciences B
CHEM1111,Fundamentals of Chemistry 1A
CHEM1405,Chemistry
CHEM1611,Chemistry A (Pharmacy)
CHEM1612,Chemistry B (Pharmacy)
CHEM1901,Chemistry 1A (Advanced)
CHEM1902,Chemistry 1B (Advanced)
CHEM1903,Chemistry 1A (Special Studies Program)
CHEM1904,Chemistry 1B (Special Studies Program)
CHEM2401,Molecular Reactivity & Spectroscopy/Adv/SSP
CHEM2403,Chemistry of Biological Molecules
CHEM2404,Forensic & Environmental Chemistry
CHEM2911,Molecular Reactivity & Spectroscopy/Adv/SSP
CHEM2915,Molecular Reactivity & Spectroscopy (SSP)
CHNG1103,Material and Energy Transformations Introduction
CHNG2801,Conservation and Transport Processes
CHNG2802,Applied Maths for Chemical Engineers
CHNG2803,Energy and Fluid Systems Practice
CHNG2804,Chemical & Biological Systems Behaviour
CHNG2805,Industrial Systems and Sustainability
CHNG2806,Materials Purification and Recovery
CHNG3041,Exchange Program 3A
CHNG3042,Exchange Program 3B
CHNG3801,Process Design
CHNG3802,Control & Reaction Engineering
CHNG3803,Chemical/Biological Process Design
CHNG3804,Biochemical Engineering
CHNG3805,Product Formulation and Design
CHNG3806,Management of Industrial Systems
CHNG3807,Products and Value Chains
CHNG3808,Polymer Engineering
CHNG3809,Laboratory and Industrial Practice
CHNG4001,Practical Experience
CHNG4003,Advances in Chemical Engineering A
CHNG4006,Professional Option
CHNG4008,Chemical Engineering Advanced Concepts
CHNG4041,Exchange Program 4A
CHNG4042,Exchange Program 4B
CHNG4203,Major Industrial Project
CHNG4802,Chemical Engineering Design A
CHNG4806,Chemical Engineering Design B
CHNG4811,Honours Thesis A
CHNG4812,Honours Thesis B
CHNG4813,Engineering Project A
CHNG4814,Engineering Project B
CHNG5001,Process Systems Engineering
CHNG5003,Green Engineering
CHNG5004,Particles and Surfaces
CHNG5005,Wastewater Engineering
CHNG5006,Advanced Wastewater Engineering
CHNG5008,Nanotechnology in Chemical Engineering
CHNG5020,Capstone Project A
CHNG5021,Capstone Project B
CHNG5022,Capstone Project B Extended
CHNG5112,Foundation of Chemical Engineering Design A
CHNG5116,Foundation of Chemical Engineering Design B
CHNG5205,Major Industrial Placement Project
CHNG5222,Dissertation A
CHNG5223,Dissertation B
CHNG5601,Membrane Science
CHNG5602,Cellular Biophysics
CHNG5603,Analysis, Modelling, Control: BioPhy Sys
CHNG5604,Membrane Engineering Laboratory
CHNG5605,Bio-Products: Laboratory to Marketplace
CHNG5701,Foundation of Conservation and Transport Processes
CHNG5702,Foundations of Applied Mathematics for Chemical Engineers
CHNG5703,Foundations of Energy and Fluid Systems
CHNG5704,Foundations of Chemical and Biological Systems Behaviour
CHNG5705,Foundations of Industrial Systems and Sustainability
CHNG5706,Foundations of Materials Purification and Recovery
CHNG5707,Foundations of Material and Energy Transformations
CHNG5801,Foundations of Process Design
CHNG5802,Found. of Control & Reaction Engineering
CHNG5803,Foundations of Chemical and Biological Processes
CHNG5804,Foundations of Biochemical Engineering
CHNG5805,Foundations of Product Formulation and Design
CHNG5806,Foundations of Management of Industrial Systems
CHNG5901,Project Part A
CHNG5902,Project Part B
CHNG5906,Extended Project
CHNG5907,Extended and Enhanced Project
CHNG9201,Foundation of Conservation and Transport Processes
CHNG9203,Foundations of Energy and Fluid Systems
CHNG9204,Foundations of Chemical and Biological Systems Behaviour
CHNG9205,Foundations of Industrial Systems and Sustainability
CHNG9301,Foundations of Process Design
CHNG9302,Found. of Control & Reaction Engineering
CHNG9303,Foundations of Chemical and Biological Processes
CHNG9305,Foundations of Product Formulation and Design
CHNG9402,Foundation of Chemical Engineering Design A
CHNG9406,Foundation of Chemical Engineering Design B
CIVL0011,Civil Exchange A
CIVL0012,Civil Exchange B
CIVL0013,Civil Exchange C
CIVL0014,Civil Exchange D
CIVL0015,Civil Exchange E
CIVL0016,Civil Exchange F
CIVL0017,Civil Exchange G
CIVL0018,Civil Exchange H
CIVL2110,Materials
CIVL2201,Structural Mechanics
CIVL2230,Introduction to Structural Concepts and Design
CIVL2410,Soil Mechanics
CIVL2511,Research Techniques
CIVL2611,Introductory Fluid Mechanics
CIVL2810,Engineering Construction and Surveying
CIVL3010,Sustainable Systems Engineering
CIVL3205,Concrete Structures 1
CIVL3206,Steel Structures 1
CIVL3235,Structural Analysis
CIVL3411,Geotechnical Engineering
CIVL3612,Fluid Mechanics
CIVL3613,Ocean and Coastal Engineering
CIVL3614,Hydrology
CIVL3805,Project Scope, Time and Cost Management
CIVL3812,Project Appraisal
CIVL3813,Contracts Formulation and Management
CIVL4008,Practical Experience
CIVL4022,Honours Thesis A
CIVL4023,Honours Thesis B
CIVL4024,Engineering Project A
CIVL4025,Engineering Project B
CIVL4241,Steel Structures 2
CIVL4412,Geotechnical Engineering
CIVL4413,Environmental Geotechnics
CIVL4614,Flow-Induced Vibrations
CIVL4615,Water Resources and Hydrology
CIVL4810,Mgmnt of People, Quality and Risk in PE
CIVL4811,Engineering Design and Construction
CIVL4814,Project Procurement and Tendering
CIVL4815,Project Formulation
CIVL4860,Architectural to Structural Design
CIVL4903,Civil Engineering Design
CIVL5020,Capstone Project A
CIVL5021,Capstone Project B
CIVL5022,Capstone Project B Extended
CIVL5222,Dissertation A
CIVL5223,Dissertation B
CIVL5257,Concrete Structures - Prestressed Concrete
CIVL5258,Advanced Structural Steel Design
CIVL5264,Composite Steel-Concrete Structures
CIVL5265,Advanced Structural Stability and Analysis
CIVL5266,Steel Structures - Stability
CIVL5267,Steel Structures - Advanced Analysis and Design
CIVL5268,Structural Dynamics
CIVL5269,Concrete Structures: Serviceability and Strength
CIVL5351,Geoenvironmental Engineering
CIVL5450,Analysis and Design of Pile Foundations
CIVL5451,Numerical and Computer Methods in Geotechnical Engineering
CIVL5452,Foundation Engineering
CIVL5453,Geotechnical Hazards
CIVL5454,Rock Engineering
CIVL5455,Engineering Behaviour of Soils
CIVL5458,Numerical Methods in Civil Engineering
CIVL5501,Foundations of Materials
CIVL5502,Foundations of Structural Mechanics
CIVL5503,Foundations of Hydrology
CIVL5504,Foundations of Soil Mechanics
CIVL5505,Foundations of Introductory Fluid Mechanics
CIVL5506,Foundations of Engineering Construction and Surveying
CIVL5507,Foundations of Concrete Structures 1
CIVL5508,Foundations of Steel Structures 1
CIVL5509,Foundations of Structural Concepts and Design
CIVL5510,Foundations of Civil Engineering Design
CIVL5511,Foundations of Fluid Mechanics
CIVL5512,Foundations of Engineering Design and Construction
CIVL5513,Foundations of Structural Analysis
CIVL5514,Foundations of Geotechnical Engineering
CIVL5665,Advanced Water Resources Engineering
CIVL5666,Open Channel Flow & Hydraulic Structures
CIVL5668,Fundamentals of Wind Engineering for Design
CIVL5669,Applied Fluid Engineering Computing
CIVL5670,Reservoir, Stream and Coastal Engineering
CIVL5901,Civil Engineering Project 1
CIVL5902,Civil Engineering Project 2
CIVL5903,Major Project A
CIVL9205,Foundations of Concrete Structures 1
CIVL9235,Foundations of Structural Analysis
CIVL9410,Foundations of Soil Mechanics
CIVL9611,Foundations of Introductory Fluid Mechanics
CIVL9612,Foundations of Fluid Mechanics
CIVL9903,Foundations of Civil Engineering Design
COMP2007,Algorithms and Complexity
COMP2022,Formal Languages & Logic
COMP2121,Principles of Distributed Systems and Networks
COMP2129,Operating Systems and Machine Principles
COMP2555,Computer Science Exchange
COMP2556,Computer Science Exchange
COMP2557,Computer Science Exchange
COMP2558,Computer Science Exchange
COMP2591,Advanced Computer Science Exchange
COMP2592,Advanced Computer Science Exchange
COMP2907,Algorithms and Complexity (Advanced)
COMP3109,Programming Languages and Paradigms
COMP3308,Introduction to Artificial Intelligence
COMP3419,Graphics and Multimedia
COMP3456,Computational Methods for Life Sciences
COMP3520,Operating Systems Internals
COMP3530,Discrete Optimization
COMP3556,Computer Science Exchange
COMP3557,Computer Science Exchange
COMP3558,Computer Science Exchange
COMP3559,Computer Science Exchange
COMP3608,Intro. to Artificial Intelligence (Adv)
COMP3615,Software Development Project
COMP4011,Computer Science Honours A
COMP4012,Computer Science Honours B
COMP4013,Computer Science Honours C
COMP4014,Computer Science Honours D
COMP4551,Computer Science Exchange
COMP4552,Computer Science Exchange
COMP4553,Computer Science Exchange
COMP4554,Computer Science Exchange
COMP5028,Object-Oriented Design
COMP5045,Computational Geometry
COMP5046,Statistical Natural Language Processing
COMP5047,Pervasive Computing
COMP5048,Visual Analytics
COMP5105,Foundations of Data Structures
COMP5114,Digital Media Fundamentals
COMP5116,Design of Networks & Distributed Systems
COMP5138,Database Management Systems
COMP5206,Information Technologies and Systems
COMP5211,Algorithms
COMP5212,Software Construction
COMP5213,Computer and Network Organisation
COMP5214,Software Development in Java
COMP5216,Mobile Computing
COMP5313,Large Scale Networks
COMP5318,Knowledge Discovery and Data Mining
COMP5320,Embedded Systems Programming
COMP5338,Advanced Data Models
COMP5347,Web Application Development
COMP5348,Enterprise Scale Software Architecture
COMP5349,Cloud Computing
COMP5415,Multimedia Design and Authoring
COMP5416,Advanced Network Technologies
COMP5424,Information Technology in Biomedicine
COMP5425,Multimedia Retrieval
COMP5426,Parallel and Distributed Computing
COMP5427,Usability Engineering
COMP5456,Introduction to Bioinformatics
COMP5615,Software Engineering Project
COMP5702,IT Research Project A
COMP5703,Information Technology Capstone
COMP5704,IT Research Project B
COMP5705,Information Technology Short Project
COMP5706,IT Industry Placement Project
COMP9007,Algorithms
COSC1001,Computational Science in MATLAB
COSC1901,Computational Science in MATLAB
COSC1902,Computational Science in C
CSCD1032,Human Communication
CSCD1033,Child Phonology
CSCD1034,Linguistics and Phonetics
CSCD2058,Stuttering
CSCD3090,Audiology 2
CSCD3091,Fieldwork
CSCD5022,Specialist Studies 1
DAAE2001,20th Century Australian Architecture
DAAE2002,Architecture, Place and Society
DAAE2005,Designing with Colour 1
DAAE2008,Innovative Building Structures
DAAE2009,Designing Effective Visual Communication
DECO1013,Sound Design and Sonification
DECO2012,Sound Design and Sonification
DECO2101,Digital Image Design & Representation
DECO2204,Principles of AutoCAD
DECO2205,Principles of ArchiCAD
DECO3200,Human-Computer Experience Design Studio
DESA1004,Designing with Surfaces and Light
DESA3444,Design Architecture Independent Study D
DESA3551,Design Architecture General Elective A
DESA9008,Object Design
DESA9009,Public Art
DESA9010,Painting
DESA9011,Photography 2
DESA9012,Screen Printing on Paper
DESA9013,Sculpture
DESA9014,Ceramics (Handbuilding)
DESA9015,Site Specific Art
DESC9014,Building Construction Technology
DESC9074,Project Management
DESC9134,Audio and Acoustics Seminar
DESC9137,Spatial Audio
DESC9138,Architectural and Audio Acoustics
DESC9169,Daylight in Buildings
DESC9191,Building Acoustics and Noise Control
DESP1001,Introductory Urban Design and Planning
DESP2001,Planning for the Public Domain
DESP2002,Planning for the Built Environment
ELEC1103,Fundamentals of Electrical and Electronic Engineering
ELEC1601,Introduction to Computer Systems
ELEC2004,Electrical Engineering: Foundations
ELEC2103,Simulation and Numerical Solutions in Engineering
ELEC2104,Electronic Devices and Circuits
ELEC2302,Signals and Systems
ELEC2602,Digital Logic
ELEC3104,Engineering Electromagnetics
ELEC3105,Circuit Theory and Design
ELEC3203,Electricity Networks
ELEC3204,Power Electronics and Applications
ELEC3206,Electrical Energy Conversion Systems
ELEC3304,Control
ELEC3305,Digital Signal Processing
ELEC3404,Electronic Circuit Design
ELEC3405,Communications Electronics and Photonics
ELEC3505,Communications
ELEC3506,Data Communications and the Internet
ELEC3607,Embedded Systems
ELEC3608,Computer Architecture
ELEC3609,Internet Software Platforms
ELEC3610,E-Business Analysis and Design
ELEC3702,Management for Engineers
ELEC3802,Fundamentals of Biomedical Engineering
ELEC3803,Bioelectronics
ELEC3901,Electrical Exchange Unit 1A
ELEC3902,Electrical Exchange Unit 1B
ELEC3903,Electrical Exchange Unit 1C
ELEC3904,Electrical Exchange Unit 2A
ELEC3905,Electrical Exchange Unit 2B
ELEC3906,Electrical Exchange Unit 2C
ELEC4505,Digital Communication Systems
ELEC4605,Computer Architecture
ELEC4702,Practical Experience
ELEC4706,Project Management
ELEC4710,Engineering Project A
ELEC4711,Engineering Project B
ELEC4712,Honours Thesis A
ELEC4713,Honours Thesis B
ELEC4714,Major Industrial Project
ELEC5020,Capstone Project A
ELEC5021,Capstone Project B
ELEC5022,Capstone Project B Extended
ELEC5101,Antennas and Propagation
ELEC5203,Topics in Power Engineering
ELEC5204,Power Systems Analysis and Protection
ELEC5205,High Voltage Engineering
ELEC5206,Sustainable Energy Systems
ELEC5207,Advanced Power Conversion Technologies
ELEC5208,Intelligent Electricity Networks
ELEC5211,Power System Dynamics and Control
ELEC5212,Power System Planning and Markets
ELEC5222,Dissertation A
ELEC5223,Dissertation B
ELEC5303,Computer Control System Design
ELEC5402,Digital Integrated Circuit Design
ELEC5403,Radio Frequency Engineering
ELEC5507,Error Control Coding
ELEC5508,Wireless Engineering
ELEC5509,Mobile Networks
ELEC5510,Satellite Communication Systems
ELEC5511,Optical Communication Systems
ELEC5512,Optical Networks
ELEC5513,Electrical and Optical Sensor Design
ELEC5514,Networked Embedded Systems
ELEC5515,Gigabit Wireless Systems
ELEC5613,Image Processing and Computer Vision
ELEC5614,Real Time Computing
ELEC5615,Advanced Computer Architecture
ELEC5616,Computer and Network Security
ELEC5617,Topics in Software Engineering
ELEC5618,Software Quality Engineering
ELEC5619,Object Oriented Application Frameworks
ELEC5620,Model Based Software Engineering
ELEC5621,Digital Systems Design
ELEC5622,Signals, Software and Health
ELEC5701,Technology Venture Creation
ELEC5710,Foundations of Electrical and Electronic Engineering
ELEC5711,Foundations of Computer Systems
ELEC5720,Foundations of Electronic Devices and Circuits
ELEC5721,Foundations of Signals and Systems
ELEC5722,Foundations of Digital Systems Design
ELEC5723,Foundations of Simulations & Numerical Solutions in Eng
ELEC5730,Foundations of Eng Electromagnetics
ELEC5731,Foundations of Circuit Theory and Design
ELEC5732,Foundations of Electricity Networks
ELEC5733,Foundations of Power Electronics & Apps
ELEC5734,Foundations of Electrical Energy Conversion Systems
ELEC5735,Foundations of Control
ELEC5736,Foundations of Digital Signal Processing
ELEC5737,Foundations of Electronic Circuit Design
ELEC5738,Foundations Comm Electronics & Photonics
ELEC5739,Foundations of Communications
ELEC5740,Foundations of Data Comm & the Internet
ELEC5741,Foundations of Embedded Computing
ELEC5742,Foundations: Internet Software Platforms
ELEC5743,Foundations of E-Business Analysis & Design
ELEC5744,Foundations of Digital Comm Systems
ELEC5745,Foundations of Computer Architecture
ELEC5803,Advanced Bioelectronics
ELEC8900,Project, Full-Time
ELEC8901,Project Part A
ELEC8902,Project Part B
ELEC8905,Dissertation A
ELEC8906,Dissertation B
ELEC9607,Foundations of Embedded Systems
ELEC9610,Foundations of E-Business Analysis & Design
ELEC9703,Foundations of Electrical and Electronic Engineering
ELEC9704,Foundations Electronic Devs & Basic Crts
ENGG1000,History and Philosophy of Engineering
ENGG1061,Advanced Engineering 1A
ENGG1800,Introduction to Engineering Disciplines
ENGG1801,Engineering Computing
ENGG1802,Engineering Mechanics
ENGG1803,Professional Engineering 1
ENGG1805,Professional Engineering and IT
ENGG1850,Introduction to Project Management
ENGG1960,Introduction to Biomedical Engineering
ENGG2005,Engineering Studies C
ENGG2008,Engineering Studies A
ENGG2062,Engineering Project: Business Plan 2 Adv
ENGG2850,Introduction to Project Finance
ENGG2851,Data Analytics for Project Management
ENGG2852,Project Based Organisational Behaviour
ENGG2855,Project Quality Management
ENGG3005,Engineering and Industrial Management Fund
ENGG3062,Technology Education (Advanced)
ENGG3853,Project Risk Management: Tools & Techniques
ENGG3854,Negotiating and Contracting
ENGG4000,Practical Experience
ENGG4006,Adv Professional Eng Managemt & Practice
ENGG4061,Innovation/Technology Commercialisation
ENGG4064,Advanced Engineering Design A
ENGG4065,Advanced Engineering Design B
ENGG5001,Professional Development
ENGG5011,Engineering Foundation Studies A
ENGG5012,Engineering Foundation Studies B
ENGG5013,Engineering Foundation Studies C
ENGG5014,Engineering Foundation Studies D
ENGG5102,Entrepreneurship for Engineers
ENGG5103,Safety Systems & Risk Analysis
ENGG5201,Data Quality in Engineering Computing
ENGG5202,Sustainable Design, Engineering & Management
ENGG5203,Quality Engineering and Management
ENGG5204,Engineering Professional Practice
ENGG5205,Professional Practice in Project Management
ENGG5210,Research Methods in Engineering
ENGG5214,Management of Technology
ENGG5215,International Engineering Strategies and Operations
ENGG5216,Management of Engineering Innovation
ENGG5217,Practical Experience
ENGG5218,Research Dissertation
ENGG5219,Research Project
ENGG5220,Engineering Project A
ENGG5221,Engineering Project B
ENGG5222,Dissertation A
ENGG5223,Dissertation B
ENGG5231,Engineering Graduate Exchange A
ENGG5232,Engineering Graduate Exchange B
ENGG5601,Greenhouse Gas Mitigation
ENGG5610,Environmental Studies at Tokyo
ENGG5701,Doctoral Thesis 1A
ENGG5702,Thesis and Doctoral Seminar 1B
ENGG5703,Doctoral Thesis 2A
ENGG5704,Thesis and Doctoral Seminar 2B
ENGG5705,Thesis and Doctoral Seminar 3A
ENGG5706,Thesis and Oral Defence
ENGG5801,Foundations of Engineering Computing
ENGG5802,Foundations of Engineering Mechanics
ENGG5811,Critical & Systems Thinking
ENGG5812,Critical Project Capability Assessment
ENGG5820,Applied Project Management
ENGG9999,Postgraduate practice on intranet
ENVI2111,Conservation Biology & Applied Ecology
ENVI2911,Conservation Biology & Applied Ecology
EXSS1018,Biomechanics of Human Movement
EXSS1032,Fundamentals of Exercise Science
EXSS2025,Motor Control and Learning
EXSS2027,Exercise Physiology for Clinicians
GEOL1501,Engineering Geology I
GEOS1001,Earth, Environment & Society
GEOS1002,Introductory Geography
GEOS1003,Introduction to Geology
GEOS1901,Earth, Environment & Society
GEOS1902,Introductory Geography
HSBH1005,Human Development
HSBH1006,Foundations of Health Science
HSBH1007,Health Science and Research
HSBH1008,Health Determinants and Interventions
HSBH1009,Health Care Resources and Systems
HSBH3001,Health and Indigenous Populations
HSBH3002,Health Information Science
HSBH3003,Health Service Strategy and Policy
HSBH3004,Health, Ethics and the Law
HSBH3005,Evidence Based Health Care
HSBH3006,Research Methods in Health
HSBH3009,International Health Project
HSBH3010,Health and Lifelong Disability
HSBH3011,Rural Health
HTIN5001,Nature of Systems
HTIN5002,Quality Frameworks for Health Innovation
HTIN5003,Health Technology Evaluation
HTIN5004,Integrated Approaches to Chronic Disease
HTIN6010,Health Technology Innovation Capstone
HTIN6011,Health Technology Innovation Capstone A
HTIN6012,Health Technology Innovation Capstone B
HTIN6030,Health Technology Innovation Thesis A
HTIN6032,Health Technology Innovation Thesis B
INFO1003,Foundations of Information Technology
INFO1103,Introduction to Programming
INFO1105,Data Structures
INFO1551,Information Technology Exchange
INFO1552,Information Technology Exchange
INFO1591,Advanced Information Technology Exchange
INFO1592,Advanced Information Technology Exchange
INFO1903,Informatics (Advanced)
INFO1905,Data Structures (Advanced)
INFO1911,IT Special Project 1A
INFO1912,IT Special Project 1B
INFO2110,Systems Analysis and Modelling
INFO2120,Database Systems 1
INFO2150,Health System Data Standards & Analysis
INFO2315,Introduction to IT Security
INFO2551,Information Technology Exchange
INFO2552,Information Technology Exchange
INFO2591,Advanced Information Technology Exchange
INFO2592,Advanced Information Technology Exchange
INFO2820,Database Systems 1 (Advanced)
INFO2911,IT Special Project 2A
INFO2912,IT Special Project 2B
INFO3220,Object Oriented Design
INFO3315,Human-Computer Interaction
INFO3402,Management of IT Projects and Systems
INFO3404,Database Systems 2
INFO3406,Introduction to Data Analytics
INFO3504,Database Systems 2 (Adv)
INFO3551,Information Technology Exchange
INFO3552,Information Technology Exchange
INFO3553,Information Technology Exchange
INFO3591,Advanced Information Technology Exchange
INFO3592,Advanced Information Technology Exchange
INFO3593,Advanced Information Technology Exchange
INFO3594,Advanced Information Technology Exchange
INFO3600,Major Development Project (Advanced)
INFO3911,IT Special Project 3A
INFO3912,IT Special Project 3B
INFO4991,IT Research Thesis A
INFO4992,IT Research Thesis B
INFO4999,Computer Science Honours Result
INFO5001,System Analysis and Modelling
INFO5003,Information Technology for Health Professionals
INFO5010,IT Advanced Topic A
INFO5011,IT Advanced Topic B
INFO5060,Data Analytics and Business Intelligence
INFO5301,Information Security Management
INFO5306,Enterprise Healthcare Information Systems
INFO5990,Professional Practice in IT
INFO5991,Services Science Management and Engineering
INFO5992,Understanding IT Innovations
INFO5993,IT Research Methods
INFO6007,Project Management in IT
INFO6010,Advanced Topics in IT Project Management
INFO6012,Information Technology Strategy and Value
INFO9003,Information Technology for Health Professionals
INFO9103,Software Development in Java
INFO9117,Intro to Software Engineering Practice
INFO9120,Database Management Systems
INFO9220,Object-Oriented Design
